"","ENTREES","Genre","copies","DEVIS","distrib","produc","origine","AE","RD","coc","rang","duree","cannes","regard","quinzaine","venise","berlin","critlegit","critpopu","nbcritiques","rk_entrees","rk_copies","rk_devis","categ.copies"
"9259",4974699,"Sci-Fi",910,NA,"majorUS","9",NA,"0","0","TP",3,133,"0","0","0","0","0",2.6,4,0.6,99.3489446602961,99.777178982278,NA,"[600,1100]"
"9260",726839,"Action",505,NA,"majorUS","majorUS","USA","0","0","TP",2,103,"0","0","0","0","0",2.33333333333333,5,0.4,88.2600021001785,94.1289252772308,NA,"[400,600)"
"9261",62569,"Drame",202,69445000,"majorUS","majorUS","USA","0","0","TP",5,118,"0","0","0","0","0",3,NA,0.266666666666667,55.4552136931639,75.2513213804539,93.6073466476462,"[200,400)"
"9262",2942754,"Action",782,204250000,"majorUS","majorUS","USA","0","0","TP",4,148,"0","0","0","0","0",2.8,4,0.666666666666667,97.9103223774021,98.9895325940512,99.8751783166904,"[600,1100]"
"9263",3660928,"Action",653,142975000,"majorUS","majorUS","USA","0","0","TP",7,106,"0","0","0","0","0",2.75,4,0.333333333333333,98.6663866428647,97.43496735413,98.6804564907275,"[600,1100]"
"9264",1934074,"Action",590,134805000,"majorUS","majorUS","USA","0","0","TP",5,115,"0","0","0","0","0",1.66666666666667,NA,0.333333333333333,96.0936679617767,96.1394963208623,98.4040656205421,"[400,600)"
"9265",4532439,"Animation",727,NA,"majorUS","majorUS","USA","0","0","TP",8,107,"0","0","0","0","0",3.33333333333333,5,0.4,99.1914312716581,98.4868898331433,NA,"[600,1100]"
"9266",1360594,"Action",638,NA,"majorUS","majorUS","USA","0","0","TP",3,112,"0","0","0","0","0",1.5,3.5,0.533333333333333,93.8674787356925,97.1395999585449,NA,"[600,1100]"
"9267",5325,"Action",40,NA,"1","9","F100","0","0","12",3,80,"0","0","0","0","0",2,2.33333333333333,0.266666666666667,21.8523574503833,46.1446782049953,NA,"[20,50)"
"9268",NA,"ComDram",15,1062100,"1","9",NA,"1","0","TP",1,88,"0","0","0","0","0",3,2,0.466666666666667,NA,30.2984765260649,14.6576319543509,"[10,20)"
"9269",245,"Drame",1,NA,"1","9","MINO","0","0","TP",1,97,"0","0","0","0","0",1,2,0.266666666666667,1.74314816759425,3.440771064359,NA,"[1,5)"
"9270",NA,"Horreur",5,NA,"1","9",NA,"0","0","NotAv",1,120,"0","0","0","0","0",1.5,2.33333333333333,0.533333333333333,NA,16.1312053062494,NA,"[5,10)"
"9271",653,"Sci-Fi",2,NA,"1","9","EUROPE","0","0","TP",1,99,"0","0","0","0","0",2,2.33333333333333,0.533333333333333,4.37887220413735,8.46201678930459,NA,"[1,5)"
"9272",72840,"Comédie",191,3990597,"majorFR","majorFR","F100","0","0","TP",1,88,"0","0","0","0","0",1.66666666666667,2,0.4,57.7444082747034,73.3392061353508,39.8359486447931,"[100,200)"
"9273",1971986,"Comédie",307,6539079,"majorFR","4","F100","0","0","TPA",2,97,"0","0","0","0","0",2,3,0.533333333333333,96.2301795652631,84.5787128199813,52.5499286733238,"[200,400)"
"9274",541204,"ComDram",265,7817795,"majorFR","majorFR","F100","0","0","TP",10,107,"0","0","0","0","0",3.33333333333333,3.66666666666667,0.866666666666667,85.015226294235,81.1483055238885,56.2589158345221,"[200,400)"
"9275",1348250,"Animation",614,26896205,"majorFR","9","MINO","0","0","TP",1,89,"0","0","0","0","0",1.5,4,0.466666666666667,93.8254751653891,96.6991398072339,80.4921540656206,"[600,1100]"
"9276",1939654,"Autre",525,19297979,"majorFR","4","F100","0","0","TP",4,119,"0","0","0","0","0",2.66666666666667,4,0.8,96.1041688543526,94.6989325318686,74.3223965763195,"[400,600)"
"9277",174087,"Animation",162,NA,"majorFR","9","TIERS","0","0","TP",4,119,"0","0","0","0","0",3.5,4,0.733333333333333,69.6944240260422,70.1730749300446,NA,"[100,200)"
